row_id,learner_group_id,sign_group_id,split,category_code,prompt_language,selection_strategy,selection_reason,anchor_outcome,anchor_correct,anchor_was_skipped,anchor_quality_score,anchor_quality_band,response_time_ms,retry_count,hint_count,sign_difficulty,was_due,days_overdue,selection_priority,pre_mastery_score,post_mastery_score,pre_total_reviews,pre_successful_reviews,pre_failure_count,pre_average_quality_score,pre_average_response_time_ms,hours_since_previous_review,pre_ease_factor,post_ease_factor,pre_interval_days,post_interval_days,pre_repetition_count,post_repetition_count,pre_lapse_count,post_lapse_count,scheduled_delay_hours,learner_prior_attempts,learner_prior_accuracy,learner_prior_average_quality,future_recall_success
ba61eb66d0b47c6503e09536d403531471269b20ec506ddbef2767b45f867cd3,d58c8651959e29eb54c4adfef9dc7a73ef0368696cf3675d17d9958f92d9c45a,d3ab9845d5d672cedadf58ae1516955047a0d05ceafdb1b28cdcadf60e9c4ba5,validation,DAILY_LIFE,english,legacy_random,new_direction,correct,1,0,5.0,5,7847,0,0,4,1,0.0,12.03,0.076,0.4918,0,0,0,0.0,,,2.5,2.6,0,1,0,1,0,0,24.0,0,0.0,0.0,1
1c00b3f890e2345d61a90777d054d4df29c7f48ca1b9bbbd81a4d56193beb074,d58c8651959e29eb54c4adfef9dc7a73ef0368696cf3675d17d9958f92d9c45a,35b6314701e208c68a6b274586061d8d54b2a2c6d661d49f9a9bfe51e1339031,validation,EMOTIONS,english,adaptive,new_direction,correct,1,0,5.0,5,10259,0,0,5,1,0.0,86.08,0.0083,0.4546,0,0,0,0.0,,,2.5,2.6,0,1,0,1,0,0,24.0,2,1.0,5.0,1
a87f116d2a2804b9fba49ca262bb940c7eb35b285dcc7b38dee2995bdc6b5bcd,d58c8651959e29eb54c4adfef9dc7a73ef0368696cf3675d17d9958f92d9c45a,703eebd4a4dbbbaf13cade8763e984d8083555fd3bd0eff5dd860de7505f81e0,validation,SCHOOL_VOCABULARY,english,adaptive,new_direction,incorrect,0,0,1.0,1,6338,1,0,1,1,0.0,85.33,0.0938,0.1416,0,0,0,0.0,,,2.5,1.96,0,1,0,0,0,1,24.0,4,1.0,5.0,1
104d3a0e84f885c442e7e374d8785efb632f7e4ce45e3a2521fc046a5a93d0f1,d58c8651959e29eb54c4adfef9dc7a73ef0368696cf3675d17d9958f92d9c45a,d25715e85fb112661178a40caec4f7079288e25200d4105531a087ace1bf006f,validation,GREETINGS,english,due_only,new_direction,incorrect,0,0,1.0,1,12737,2,0,5,1,0.0,85.65,0.1022,0.1462,0,0,0,0.0,,,2.5,1.96,0,1,0,0,0,1,24.0,6,0.833333,4.208333,1
eef555b953efaed2c1aa47042ea72bcd6e263cc85fd3f5bf205e24fd89806eb2,d58c8651959e29eb54c4adfef9dc7a73ef0368696cf3675d17d9958f92d9c45a,0942be67a27862a7f61b0a638bc676513976dffc36741774ef3379d8d1d47a50,validation,EMOTIONS,english,adaptive,new_direction,incorrect,0,0,1.0,1,7450,1,0,2,1,0.0,76.12,0.0291,0.106,0,0,0,0.0,,,2.5,1.96,0,1,0,0,0,1,24.0,8,0.75,3.90625,0
6b771edfb1ab878fd6782121ab50019d4f979699abf5f89a6e7d263950faca8a,d58c8651959e29eb54c4adfef9dc7a73ef0368696cf3675d17d9958f92d9c45a,e5f0f8ee9588c53c8574310d3122aedafdb64a73b58a541fc421809de5cfee39,validation,DAILY_LIFE,english,random_control,new_direction,incorrect,0,0,1.0,1,7229,1,0,2,1,0.0,6.59,0.0535,0.1194,0,0,0,0.0,,,2.5,1.96,0,1,0,0,0,1,24.0,10,0.6,3.325,0
4d364262ee209d699fe5076277852fc729d3f034ce7f7ff4eaf478510b730a65,d58c8651959e29eb54c4adfef9dc7a73ef0368696cf3675d17d9958f92d9c45a,3d84ae23c933b78aacd771e1bfbbe8be0eed904bb47a6fe137cae79a41ae64a9,validation,NUMBERS,english,due_only,new_direction,correct,1,0,4.25,4,8357,1,0,4,1,0.0,82.63,0.0289,0.3984,0,0,0,0.0,,,2.5,2.5,0,1,0,1,0,0,24.0,12,0.5,2.854167,0
6a8ffa0a5570fc73cfcd19e6fa81b71e8c8c2e68270f8ba34730af1f1ce3e474,d58c8651959e29eb54c4adfef9dc7a73ef0368696cf3675d17d9958f92d9c45a,d25715e85fb112661178a40caec4f7079288e25200d4105531a087ace1bf006f,validation,GREETINGS,english,random_control,random_control,incorrect,0,0,1.0,1,10419,1,0,5,1,11.28,18.71,0.5304,0.3817,2,1,1,3.0,11559.0,294.6619,2.06,1.52,1,1,1,0,1,2,24.0,14,0.5,2.821429,0
ef6f379f4df065f04d7d2c17ce551c68cf127cc569587b783635e7dfd9a21749,d58c8651959e29eb54c4adfef9dc7a73ef0368696cf3675d17d9958f92d9c45a,0942be67a27862a7f61b0a638bc676513976dffc36741774ef3379d8d1d47a50,validation,EMOTIONS,english,adaptive,overdue,correct,1,0,5.0,5,5431,0,0,2,1,12.09,71.67,0.1483,0.5316,2,0,2,1.0,7516.0,314.1329,1.42,1.52,1,1,0,1,2,2,24.0,16,0.4375,2.59375,1
cb41355ce0c6e508dcd45ab6338b55be2bcdfe9fcaad22d5a0fbe4fa9ca31a93,d58c8651959e29eb54c4adfef9dc7a73ef0368696cf3675d17d9958f92d9c45a,e5f0f8ee9588c53c8574310d3122aedafdb64a73b58a541fc421809de5cfee39,validation,DAILY_LIFE,english,adaptive,overdue,correct,1,0,5.0,5,4649,0,0,2,1,11.56,74.95,0.0657,0.4861,2,0,2,0.5,5696.0,301.5324,1.3,1.4,1,1,0,1,2,2,24.0,18,0.5,2.861111,1
bd9a5b5b28706ef43fcd93a4323829e1ad083ceef540169ed49a01fb7868769d,be41c855f9bbe8b176e62768914473524c4ee184a40545e1504222fd64b60274,cbf3c5348b55a81dd056abc138035ba18a1aa52e4c081ece8c5630c88db10be2,train,SCHOOL_VOCABULARY,sinhala,adaptive,new_direction,incorrect,0,0,1.0,1,8708,1,0,5,1,0.0,81.0,0.0891,0.139,0,0,0,0.0,,,2.5,1.96,0,1,0,0,0,1,24.0,0,0.0,0.0,0
93660384e87901d87964224f540e6c1a6bb60f4d5b4ded0c396324f311bd1962,be41c855f9bbe8b176e62768914473524c4ee184a40545e1504222fd64b60274,d3ab9845d5d672cedadf58ae1516955047a0d05ceafdb1b28cdcadf60e9c4ba5,train,DAILY_LIFE,sinhala,adaptive,new_direction,incorrect,0,0,1.0,1,8228,1,0,4,1,0.0,94.37,0.0164,0.099,0,0,0,0.0,,,2.5,1.96,0,1,0,0,0,1,24.0,2,0.0,0.5,0
d7dd45aa03cbbc5b5af899d166819e91a1c53454bca7e412be40139010f7f420,be41c855f9bbe8b176e62768914473524c4ee184a40545e1504222fd64b60274,35b6314701e208c68a6b274586061d8d54b2a2c6d661d49f9a9bfe51e1339031,train,EMOTIONS,sinhala,adaptive,new_direction,correct,1,0,4.5,5,9680,0,1,5,1,0.0,83.58,0.08,0.449,0,0,0,0.0,,,2.5,2.6,0,1,0,1,0,0,24.0,4,0.0,0.75,1
28646f6c86f278b9beec965141dd9c54d2f18dc79f2aad788dd7459dee21d5c2,be41c855f9bbe8b176e62768914473524c4ee184a40545e1504222fd64b60274,6ca9b77348499332b247786d17ffbe2184837c0ca420040252abbd7a7130dc5d,train,GREETINGS,sinhala,adaptive,new_direction,correct,1,0,3.0,3,11924,2,1,5,1,0.0,82.17,0.0822,0.3152,0,0,0,0.0,,,2.5,2.36,0,1,0,1,0,0,24.0,6,0.333333,2.083333,0
749313233755f6fe3105539fda2f7f7432f7b0fc90933ca1ee82c79865795728,be41c855f9bbe8b176e62768914473524c4ee184a40545e1504222fd64b60274,e571a4e7e3fa4de651fef6cb6bfddc05705dd29ed5dd94156cec07bf1647e42a,train,SCHOOL_VOCABULARY,sinhala,legacy_random,new_direction,correct,1,0,4.25,4,5261,1,0,1,1,0.0,15.69,0.007,0.3864,0,0,0,0.0,,,2.5,2.5,0,1,0,1,0,0,24.0,8,0.375,2.0625,1
ee5c9d0ed3a30ce52d8737fe95eaf52bff2bed610f26329faddc06b12ae8eb00,be41c855f9bbe8b176e62768914473524c4ee184a40545e1504222fd64b60274,40f79f3fa9f938b258f0edc45c0351d74670e8bd1b1ffcbfcf20f4f511feafb9,train,NUMBERS,sinhala,due_only,new_direction,correct,1,0,5.0,5,4643,0,0,2,1,0.0,78.14,0.0822,0.4952,0,0,0,0.0,,,2.5,2.6,0,1,0,1,0,0,24.0,10,0.5,2.525,1
c9f4e35a1e3f8f4b8df2e6eb746c98aa3ee2623297a17bd748f44e9a7856b628,be41c855f9bbe8b176e62768914473524c4ee184a40545e1504222fd64b60274,3d84ae23c933b78aacd771e1bfbbe8be0eed904bb47a6fe137cae79a41ae64a9,train,NUMBERS,sinhala,legacy_random,new_direction,incorrect,0,0,1.0,1,8086,1,0,4,1,0.0,8.88,0.0937,0.1415,0,0,0,0.0,,,2.5,1.96,0,1,0,0,0,1,24.0,12,0.583333,2.9375,1
816957ab0c0fe001f24aba108867d421e74a7ffb052904d47680d833a69f4872,be41c855f9bbe8b176e62768914473524c4ee184a40545e1504222fd64b60274,1130fc6f64629b4e91512f844213a9eea0f400113e8cfc23afb401698ee4d9d2,train,SCHOOL_VOCABULARY,sinhala,adaptive,new_direction,incorrect,0,0,1.0,1,7643,2,0,2,1,0.0,86.98,0.0362,0.1099,0,0,0,0.0,,,2.5,1.96,0,1,0,0,0,1,24.0,14,0.571429,2.946429,0
db93192383eb9787a5fb6fe4e84a4d5c89c6373857dd0f93e6358755ce8746c1,be41c855f9bbe8b176e62768914473524c4ee184a40545e1504222fd64b60274,35b6314701e208c68a6b274586061d8d54b2a2c6d661d49f9a9bfe51e1339031,train,EMOTIONS,sinhala,adaptive,overdue,correct,1,0,5.0,5,7664,0,0,5,1,10.15,61.68,0.6969,0.8333,2,2,0,4.75,8903.5,387.5562,2.7,2.8,6,16,2,3,0,0,384.0,16,0.5,2.703125,1
cc25a971bd0ff9313eb3b0347482145dbb474164f64270573bea588d79a0320e,be41c855f9bbe8b176e62768914473524c4ee184a40545e1504222fd64b60274,de771f3d4a94a21db9a24da5fe49a661898fd3b882313be14075805ebfb709fa,train,GREETINGS,sinhala,adaptive,new_direction,correct,1,0,5.0,5,7134,0,0,3,1,0.0,84.63,0.0501,0.4776,0,0,0,0.0,,,2.5,2.6,0,1,0,1,0,0,24.0,18,0.555556,2.958333,1
52c35607884d27a7f6e2f995d3d0c464aa4a5b93beee2bc6b05249ecf6f7b926,68d4d6f1b3a4c5c9c1eb527d16c2c297ae0f692dc8f90c36732c940e3ce403e2,b907568662bf6ca001668aae59923eef7b0686da1be7d16ec09c5e8bd7d054c7,train,GREETINGS,english,adaptive,new_direction,correct,1,0,5.0,5,5918,0,0,2,1,0.0,82.32,0.1149,0.5132,0,0,0,0.0,,,2.5,2.6,0,1,0,1,0,0,24.0,0,0.0,0.0,1
